"","V1","V2","V3","V4","V5","V6"
"204","wr","0.35","250","51","0.053012023051649",NA
"205","tprs","0.35","250","52","0.0857720132827896",NA
"206","mdsds","0.35","250","52","0.0596740058465744","4"
"207","soap","0.35","250","52","0.0625412040923329",NA
"208","wr","0.35","250","52","0.0614439848776144",NA
"209","tprs","0.35","250","53","0.092190538673755",NA
"210","mdsds","0.35","250","53","0.052193837494702","4"
"211","soap","0.35","250","53","0.0582483041989736",NA
"212","wr","0.35","250","53","0.0565217246909587",NA
"213","tprs","0.35","250","54","0.0991944856744366",NA
"214","mdsds","0.35","250","54","0.0545345765949117","4"
"215","soap","0.35","250","54","0.0531246795074561",NA
"216","wr","0.35","250","54","0.0530101497940159",NA
"217","tprs","0.35","250","55","0.0759235649939715",NA
"218","mdsds","0.35","250","55","0.0633992222477201","4"
"219","soap","0.35","250","55","0.0780390750119728",NA
"220","wr","0.35","250","55","0.0808337907436419",NA
"221","tprs","0.35","250","56","0.103237642198963",NA
"222","mdsds","0.35","250","56","0.130986694273843","18"
"223","soap","0.35","250","56","0.0748635064929298",NA
"224","wr","0.35","250","56","0.0955010370984881",NA
"225","tprs","0.35","250","57","0.0926370728224049",NA
"226","mdsds","0.35","250","57","0.043049360810775","4"
"227","soap","0.35","250","57","0.0449837825219228",NA
"228","wr","0.35","250","57","0.0556812465137075",NA
"229","tprs","0.35","250","58","0.0740162342197034",NA
"230","mdsds","0.35","250","58","0.0573902999114971","4"
"231","soap","0.35","250","58","0.056998374066347",NA
"232","wr","0.35","250","58","0.0629813172027556",NA
"233","tprs","0.35","250","59","0.0780681315032014",NA
"234","mdsds","0.35","250","59","0.0513768439553572","4"
"235","soap","0.35","250","59","0.0579343893565458",NA
"236","wr","0.35","250","59","0.0641887861009341",NA
"237","tprs","0.35","250","60","0.0862458886399042",NA
"238","mdsds","0.35","250","60","0.0619385831966229","4"
"239","soap","0.35","250","60","0.0636251470298422",NA
"240","wr","0.35","250","60","0.0641233905288455",NA
"241","tprs","0.35","250","61","0.111175386116111",NA
"242","mdsds","0.35","250","61","0.05571977252391","4"
"243","soap","0.35","250","61","0.0586148437904035",NA
"244","wr","0.35","250","61","0.054423059829827",NA
"245","tprs","0.35","250","62","0.152899335652162",NA
"246","mdsds","0.35","250","62","0.0643617097376102","4"
"247","soap","0.35","250","62","0.0630484754385056",NA
"248","wr","0.35","250","62","0.0774565994401508",NA
"249","tprs","0.35","250","63","0.116998365424375",NA
"250","mdsds","0.35","250","63","0.0612502910801142","4"
"251","soap","0.35","250","63","0.0618307794147118",NA
"252","wr","0.35","250","63","0.0687759618263029",NA
"253","tprs","0.35","250","64","0.0678346924120612",NA
"254","mdsds","0.35","250","64","0.0701850877088148","2"
"255","soap","0.35","250","64","0.0463323939329424",NA
"256","wr","0.35","250","64","0.0501901073345556",NA
"257","tprs","0.35","250","65","0.0800656969211561",NA
"258","mdsds","0.35","250","65","0.0703342687038161","2"
"259","soap","0.35","250","65","0.0482202172208916",NA
"260","wr","0.35","250","65","0.056282506143738",NA
"261","tprs","0.35","250","66","0.101370177819653",NA
"262","mdsds","0.35","250","66","0.0512674407566896","4"
"263","soap","0.35","250","66","0.0539515464722041",NA
"264","wr","0.35","250","66","0.0571442827419357",NA
"265","tprs","0.35","250","67","0.0768736585018702",NA
"266","mdsds","0.35","250","67","0.0639912390571402","3"
"267","soap","0.35","250","67","0.0582608182261515",NA
"268","wr","0.35","250","67","0.0669432261093194",NA
"269","tprs","0.35","250","68","0.0798369994661635",NA
"270","mdsds","0.35","250","68","0.0534059108102647","4"
"271","soap","0.35","250","68","0.0635499652481014",NA
"272","wr","0.35","250","68","0.0708163018143078",NA
"273","tprs","0.35","250","69","0.0873318622941122",NA
"274","mdsds","0.35","250","69","0.0601663894417377","3"
"275","soap","0.35","250","69","0.0660340513456962",NA
"276","wr","0.35","250","69","0.0571059627704499",NA
"277","tprs","0.35","250","70","0.0688640078116783",NA
"278","mdsds","0.35","250","70","0.045237676171332","4"
"279","soap","0.35","250","70","0.0556901702954433",NA
"280","wr","0.35","250","70","0.138701344147773",NA
"281","tprs","0.35","250","71","0.0733815866328786",NA
"282","mdsds","0.35","250","71","0.0532718071756656","4"
"283","soap","0.35","250","71","0.0531650134730796",NA
"284","wr","0.35","250","71","0.0593115358536733",NA
"285","tprs","0.35","250","72","0.0729717990244817",NA
"286","mdsds","0.35","250","72","0.0471502526885545","4"
"287","soap","0.35","250","72","0.0528688944332487",NA
"288","wr","0.35","250","72","0.0616625271797469",NA
"289","tprs","0.35","250","73","0.106103612195079",NA
"290","mdsds","0.35","250","73","0.292027709765455","18"
"291","soap","0.35","250","73","0.0583088285537494",NA
"292","wr","0.35","250","73","0.0546954906067258",NA
"293","tprs","0.35","250","74","0.0611971021971255",NA
"294","mdsds","0.35","250","74","0.0361337107087445","4"
"295","soap","0.35","250","74","0.0477033131143087",NA
"296","wr","0.35","250","74","0.0428642786869721",NA
"297","tprs","0.35","250","75","0.142013779938099",NA
"298","mdsds","0.35","250","75","0.059462894592602","4"
"299","soap","0.35","250","75","0.0750872751890948",NA
"300","wr","0.35","250","75","0.0575398436806478",NA
"301","tprs","0.35","250","76","0.0941609326730591",NA
"302","mdsds","0.35","250","76","0.0562647213035986","2"
"303","soap","0.35","250","76","0.0578890970817756",NA
"304","wr","0.35","250","76","0.0461376642088992",NA
"305","tprs","0.35","250","77","0.09215740488779",NA
"306","mdsds","0.35","250","77","0.0506428616750742","4"
"307","soap","0.35","250","77","0.0562177981292242",NA
"308","wr","0.35","250","77","0.0897912724933891",NA
"309","tprs","0.35","250","78","0.0760354934633313",NA
"310","mdsds","0.35","250","78","0.0531138034361249","5"
"311","soap","0.35","250","78","0.0577840332279745",NA
"312","wr","0.35","250","78","0.0521202258929419",NA
"313","tprs","0.35","250","79","0.0946539147266441",NA
"314","mdsds","0.35","250","79","0.0511111105333687","4"
"315","soap","0.35","250","79","0.0472996302880245",NA
"316","wr","0.35","250","79","0.0577078384073233",NA
"317","tprs","0.35","250","80","0.0694785451600193",NA
"318","mdsds","0.35","250","80","0.0667704834563248","2"
